person1,person2,start_date,end_date
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX24,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX35,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX18,1991-07-11,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX32,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX13,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX42,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX33,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX16,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX23,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX10,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXXX6,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX24,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX35,2021-02-19,null
XXXXXXXXXXXXXX22,XXXXXXXXXXXXXX18,2021-02-19,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX13,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX42,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX33,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX16,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX23,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX10,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXXX6,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX24,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX35,2018-11-26,null
XXXXXXXXXXXXXX32,XXXXXXXXXXXXXX18,2018-11-26,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXX42,1993-12-16,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXX33,1993-12-16,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXX16,1993-12-16,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXX23,1993-12-16,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXX10,1993-12-16,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXXX6,1993-12-16,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXX24,1993-12-16,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXX35,1993-12-16,null
XXXXXXXXXXXXXX13,XXXXXXXXXXXXXX18,1993-12-16,null
XXXXXXXXXXXXXX42,XXXXXXXXXXXXXX33,1974-08-17,null
XXXXXXXXXXXXXX42,XXXXXXXXXXXXXX16,1974-08-17,null
XXXXXXXXXXXXXX42,XXXXXXXXXXXXXX23,1974-08-17,null
XXXXXXXXXXXXXX42,XXXXXXXXXXXXXX10,1974-08-17,null
XXXXXXXXXXXXXX42,XXXXXXXXXXXXXXX6,1974-08-17,null
XXXXXXXXXXXXXX42,XXXXXXXXXXXXXX24,1974-08-17,null
XXXXXXXXXXXXXX42,XXXXXXXXXXXXXX35,1974-08-17,null
XXXXXXXXXXXXXX42,XXXXXXXXXXXXXX18,1974-08-17,null
XXXXXXXXXXXXXX33,XXXXXXXXXXXXXX16,2002-12-18,null
XXXXXXXXXXXXXX33,XXXXXXXXXXXXXX23,2002-12-18,null
XXXXXXXXXXXXXX33,XXXXXXXXXXXXXX10,2002-12-18,null
XXXXXXXXXXXXXX33,XXXXXXXXXXXXXXX6,2002-12-18,null
XXXXXXXXXXXXXX33,XXXXXXXXXXXXXX24,2002-12-18,null
XXXXXXXXXXXXXX33,XXXXXXXXXXXXXX35,2002-12-18,null
XXXXXXXXXXXXXX33,XXXXXXXXXXXXXX18,2002-12-18,null
XXXXXXXXXXXXXX16,XXXXXXXXXXXXXX23,1952-09-26,null
XXXXXXXXXXXXXX16,XXXXXXXXXXXXXX10,1952-09-26,null
XXXXXXXXXXXXXX16,XXXXXXXXXXXXXXX6,1952-09-26,null
XXXXXXXXXXXXXX16,XXXXXXXXXXXXXX24,1952-09-26,null
XXXXXXXXXXXXXX16,XXXXXXXXXXXXXX35,1952-09-26,null
XXXXXXXXXXXXXX16,XXXXXXXXXXXXXX18,1952-09-26,null
XXXXXXXXXXXXXX23,XXXXXXXXXXXXXX10,2009-08-31,null
XXXXXXXXXXXXXX23,XXXXXXXXXXXXXXX6,2009-08-31,null
XXXXXXXXXXXXXX23,XXXXXXXXXXXXXX24,2009-08-31,null
XXXXXXXXXXXXXX23,XXXXXXXXXXXXXX35,2009-08-31,null
XXXXXXXXXXXXXX23,XXXXXXXXXXXXXX18,2009-08-31,null
XXXXXXXXXXXXXX10,XXXXXXXXXXXXXXX6,2021-05-06,null
XXXXXXXXXXXXXX10,XXXXXXXXXXXXXX24,2021-05-06,null
XXXXXXXXXXXXXX10,XXXXXXXXXXXXXX35,2021-05-06,null
XXXXXXXXXXXXXX10,XXXXXXXXXXXXXX18,2021-05-06,null
XXXXXXXXXXXXXXX6,XXXXXXXXXXXXXX24,1977-06-15,null
XXXXXXXXXXXXXXX6,XXXXXXXXXXXXXX35,1977-06-15,null
XXXXXXXXXXXXXXX6,XXXXXXXXXXXXXX18,1977-06-15,null
XXXXXXXXXXXXXX24,XXXXXXXXXXXXXX35,1970-07-23,null
XXXXXXXXXXXXXX24,XXXXXXXXXXXXXX18,1970-07-23,null
XXXXXXXXXXXXXX35,XXXXXXXXXXXXXX18,1986-03-04,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX21,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX31,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX39,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX12,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX30,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX17,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXXX9,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX34,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX26,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXXX7,2019-10-01,null
XXXXXXXXXXXXXXX2,XXXXXXXXXXXXXX38,2019-10-01,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXX31,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXX39,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXX12,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXX30,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXX17,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXXX9,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXX34,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXX26,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXXX7,1959-04-11,null
XXXXXXXXXXXXXX21,XXXXXXXXXXXXXX38,1959-04-11,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXX39,1975-06-14,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXX12,1975-06-14,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXX30,1975-06-14,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXX17,1975-06-14,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXXX9,1975-06-14,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXX34,1975-06-14,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXX26,1975-06-14,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXXX7,1975-06-14,null
XXXXXXXXXXXXXX31,XXXXXXXXXXXXXX38,1975-06-14,null
XXXXXXXXXXXXXX39,XXXXXXXXXXXXXX12,1950-09-03,null
XXXXXXXXXXXXXX39,XXXXXXXXXXXXXX30,1950-09-03,null
XXXXXXXXXXXXXX39,XXXXXXXXXXXXXX17,1950-09-03,null
XXXXXXXXXXXXXX39,XXXXXXXXXXXXXXX9,1950-09-03,null
XXXXXXXXXXXXXX39,XXXXXXXXXXXXXX34,1950-09-03,null
XXXXXXXXXXXXXX39,XXXXXXXXXXXXXX26,1950-09-03,null
XXXXXXXXXXXXXX39,XXXXXXXXXXXXXXX7,1950-09-03,null
XXXXXXXXXXXXXX39,XXXXXXXXXXXXXX38,1950-09-03,null
XXXXXXXXXXXXXX12,XXXXXXXXXXXXXX30,1999-11-05,null
XXXXXXXXXXXXXX12,XXXXXXXXXXXXXX17,1999-11-05,null
XXXXXXXXXXXXXX12,XXXXXXXXXXXXXXX9,1999-11-05,null
XXXXXXXXXXXXXX12,XXXXXXXXXXXXXX34,1999-11-05,null
XXXXXXXXXXXXXX12,XXXXXXXXXXXXXX26,1999-11-05,null
XXXXXXXXXXXXXX12,XXXXXXXXXXXXXXX7,1999-11-05,null
XXXXXXXXXXXXXX12,XXXXXXXXXXXXXX38,1999-11-05,null
XXXXXXXXXXXXXX30,XXXXXXXXXXXXXX17,2009-07-16,null
XXXXXXXXXXXXXX30,XXXXXXXXXXXXXXX9,2009-07-16,null
XXXXXXXXXXXXXX30,XXXXXXXXXXXXXX34,2009-07-16,null
XXXXXXXXXXXXXX30,XXXXXXXXXXXXXX26,2009-07-16,null
XXXXXXXXXXXXXX30,XXXXXXXXXXXXXXX7,2009-07-16,null
XXXXXXXXXXXXXX30,XXXXXXXXXXXXXX38,2009-07-16,null
XXXXXXXXXXXXXX17,XXXXXXXXXXXXXXX9,2003-09-25,null
XXXXXXXXXXXXXX17,XXXXXXXXXXXXXX34,2003-09-25,null
XXXXXXXXXXXXXX17,XXXXXXXXXXXXXX26,2003-09-25,null
XXXXXXXXXXXXXX17,XXXXXXXXXXXXXXX7,2003-09-25,null
XXXXXXXXXXXXXX17,XXXXXXXXXXXXXX38,2003-09-25,null
XXXXXXXXXXXXXXX9,XXXXXXXXXXXXXX34,2003-07-28,null
XXXXXXXXXXXXXXX9,XXXXXXXXXXXXXX26,2003-07-28,null
XXXXXXXXXXXXXXX9,XXXXXXXXXXXXXXX7,2003-07-28,null
XXXXXXXXXXXXXXX9,XXXXXXXXXXXXXX38,2003-07-28,null
XXXXXXXXXXXXXX34,XXXXXXXXXXXXXX26,1973-10-25,null
XXXXXXXXXXXXXX34,XXXXXXXXXXXXXXX7,1973-10-25,null
XXXXXXXXXXXXXX34,XXXXXXXXXXXXXX38,1973-10-25,null
XXXXXXXXXXXXXX26,XXXXXXXXXXXXXXX7,2003-12-27,null
XXXXXXXXXXXXXX26,XXXXXXXXXXXXXX38,2003-12-27,null
XXXXXXXXXXXXXXX7,XXXXXXXXXXXXXX38,1998-03-27,2021-05-23
XXXXXXXXXXXXXXX1,XXXXXXXXXXXXXXX5,1969-02-07,null
XXXXXXXXXXXXXXX1,XXXXXXXXXXXXXX15,1969-02-07,null
XXXXXXXXXXXXXXX1,XXXXXXXXXXXXXX45,1969-02-07,null
XXXXXXXXXXXXXXX1,XXXXXXXXXXXXXX36,1969-02-07,null
XXXXXXXXXXXXXXX1,XXXXXXXXXXXXXX29,1969-02-07,null
XXXXXXXXXXXXXXX1,XXXXXXXXXXXXXX20,1969-02-07,null
XXXXXXXXXXXXXXX1,XXXXXXXXXXXXXX27,1969-02-07,null
XXXXXXXXXXXXXXX5,XXXXXXXXXXXXXX15,1992-07-01,null
XXXXXXXXXXXXXXX5,XXXXXXXXXXXXXX45,1992-07-01,null
XXXXXXXXXXXXXXX5,XXXXXXXXXXXXXX36,1992-07-01,null
XXXXXXXXXXXXXXX5,XXXXXXXXXXXXXX29,1992-07-01,null
XXXXXXXXXXXXXXX5,XXXXXXXXXXXXXX20,1992-07-01,null
XXXXXXXXXXXXXXX5,XXXXXXXXXXXXXX27,1992-07-01,null
XXXXXXXXXXXXXX15,XXXXXXXXXXXXXX45,1963-09-20,null
XXXXXXXXXXXXXX15,XXXXXXXXXXXXXX36,1963-09-20,null
XXXXXXXXXXXXXX15,XXXXXXXXXXXXXX29,1963-09-20,null
XXXXXXXXXXXXXX15,XXXXXXXXXXXXXX20,1963-09-20,null
XXXXXXXXXXXXXX15,XXXXXXXXXXXXXX27,1963-09-20,null
XXXXXXXXXXXXXX45,XXXXXXXXXXXXXX36,2016-04-28,null
XXXXXXXXXXXXXX45,XXXXXXXXXXXXXX29,2016-04-28,null
XXXXXXXXXXXXXX45,XXXXXXXXXXXXXX20,2016-04-28,null
XXXXXXXXXXXXXX45,XXXXXXXXXXXXXX27,2016-04-28,null
XXXXXXXXXXXXXX36,XXXXXXXXXXXXXX29,1988-01-15,null
XXXXXXXXXXXXXX36,XXXXXXXXXXXXXX20,1988-01-15,null
XXXXXXXXXXXXXX36,XXXXXXXXXXXXXX27,1988-01-15,null
XXXXXXXXXXXXXX29,XXXXXXXXXXXXXX20,2004-08-16,null
XXXXXXXXXXXXXX29,XXXXXXXXXXXXXX27,2004-08-16,null
XXXXXXXXXXXXXX20,XXXXXXXXXXXXXX27,2010-07-11,null
XXXXXXXXXXXXXX19,XXXXXXXXXXXXXX43,1962-07-08,null
XXXXXXXXXXXXXX19,XXXXXXXXXXXXXX14,1962-07-08,null
XXXXXXXXXXXXXX19,XXXXXXXXXXXXXX28,1962-07-08,null
XXXXXXXXXXXXXX19,XXXXXXXXXXXXXXX0,1962-07-08,null
XXXXXXXXXXXXXX19,XXXXXXXXXXXXXX41,1962-07-08,null
XXXXXXXXXXXXXX43,XXXXXXXXXXXXXX14,1967-09-01,null
XXXXXXXXXXXXXX43,XXXXXXXXXXXXXX28,1967-09-01,null
XXXXXXXXXXXXXX43,XXXXXXXXXXXXXXX0,1967-09-01,null
XXXXXXXXXXXXXX43,XXXXXXXXXXXXXX41,1967-09-01,null
XXXXXXXXXXXXXX14,XXXXXXXXXXXXXX28,1970-01-27,null
XXXXXXXXXXXXXX14,XXXXXXXXXXXXXXX0,1970-01-27,null
XXXXXXXXXXXXXX14,XXXXXXXXXXXXXX41,1970-01-27,null
XXXXXXXXXXXXXX28,XXXXXXXXXXXXXXX0,2012-10-08,null
XXXXXXXXXXXXXX28,XXXXXXXXXXXXXX41,2012-10-08,null
